Three_Item,Four_Item
Age - Mile - Sand,Age - Mile - Sand - Tomb
Animal - Back - Rat,Animal - Back - Rat - Jet
Baby - Spring - Cap,Baby - Spring - Cap - Curtain
Back - Step - Screen,Back - Step - Screen - Knob
Basket - Eight - Snow,Basket - Eight - Snow - Foot/Dodge
Blank - List - Mate,Blank - List - Mate - Book
Board - Blade - Back,Board - Blade - Back - Light
Bottom - Curve - Hop,Bottom - Curve - Hop - Pepper/Door
Break - Bean - Cake,Break - Bean - Cake - Cup
Cadet - Capsule - Ship,Cadet - Capsule - Ship - Bar/Station
Cane - Daddy - Plum,Cane - Daddy - Plum - Cookies/Coat
Carpet - Alert - Ink,Carpet - Alert - Ink - Tape/Wine
Cat - Number - Phone,Cat - Number - Phone - Prank
Catcher - Food - Hot,Catcher - Food - Hot - House
Change - Circuit - Cake,Change - Circuit - Cake - Cut
Cover - Arm - Wear,Cover - Arm - Wear - Take/Ground
Cracker - Fly - Fighter,Cracker - Fly - Fighter - Alarm/Escape
Cream - Skate - Water,Cream - Skate - Water - Coffee/Cube
Cry - Front - Ship,Cry - Front - Ship - Field
Cut - Cream - War,Cut - Cream - War - Turkey
Dew - Comb - Bee,Dew - Comb - Bee - Mustard/Suckle
Dive - Light - Rocket,Dive - Light - Rocket - Line
Down - Question - Check,Down - Question - Check - Birth/Trade
Dress - Dial - Flower,Dress - Dial - Flower - Shine
Duck - Fold - Dollar,Duck - Fold - Dollar - Board
Eight - Skate - Stick,Eight - Skate - Stick - Father
Fight - Control - Machine,Fight - Control - Machine - Powder
Flower - Friend - Scout,Flower - Friend - Scout - Cover/Gossip
Fly - Clip - Wall,Fly - Clip - Wall - Towel
Force - Line - Mail,Force - Line - Mail - Plane
Fork - Dark - Man,Fork - Dark - Man - Sales
Foul - Ground - Mate,Foul - Ground - Mate - Stage
Fountain - Baking - Pop,Fountain - Baking - Pop - Can
Fox - Man - Peep,Fox - Man - Peep - Black
Fur - Rack - Tail,Fur - Rack - Tail - Hanger
Grass - King - Meat,Grass - King - Meat - Legs/Hermit
Guy - Rain - Down,Guy - Rain - Down - Water/Asleep
Hammer - Gear - Hunter,Hammer - Gear - Hunter - Figure
Health - Taker - Less,Health - Taker - Less - Free/Day
High - District - House,High - District - House - Bus
Hold - Print - Stool,Hold - Print - Stool - Wear
Home - Arm - Room,Home - Arm - Room - Foot
Horse - Human - Drag,Horse - Human - Drag - Foot/Car
Hound - Pressure - Shot,Hound - Pressure - Shot - Drive/Clot
House - Thumb - Pepper,House - Thumb - Pepper - Light/Grass
Illness - Bus - Computer,Illness - Bus - Computer - Velocity/Airport
Iron - Shovel - Engine,Iron - Shovel - Engine - Boat/Kettle
Keg - Puff - Room,Keg - Puff - Room - Milk/Baking
Knife - Light - Pal,Knife - Light - Pal - Cap
Lift - Card - Mask,Lift - Card - Mask - Palm
Light - Birthday - Stick,Light - Birthday - Stick - Wax
Loser - Throat - Spot,Loser - Throat - Spot - Cold
Mail - Board - Lung,Mail - Board - Lung - Hole
Man - Glue - Star,Man - Glue - Star - Power
Marshal - Child - Piano,Marshal - Child - Piano - Canyon/Prix
Master - Toss - Finger,Master - Toss - Finger - Wedding
Mouse - Bear - Sand,Mouse - Bear - Sand - Fly/Door
Night - Wrist - Stop,Night - Wrist - Stop - Pocket
Nose - Stone - Bear,Nose - Stone - Bear - Bag/Recluse
Note - Chain - Master,Note - Chain - Master - Board/Lime
Nuclear - Feud - Album,Nuclear - Feud - Album - Reunion/Tree
Off - Military - First,Off - Military - First - Ball
Office - Mail - Hat,Office - Mail - Hat - Cutter
Officer - Cash - Larceny,Officer - Cash - Larceny - Crime/Theft
Oil - Bar - Tuna,Oil - Bar - Tuna - Egg
Opera - Hand - Dish,Opera - Hand - Dish - Bubble
Pea - Shell - Chest,Pea - Shell - Chest - Case/Job
Pet - Bottom - Garden,Pet - Bottom - Garden - Salt/Band
Pie - Luck - Belly,Pie - Luck - Belly - Hole/Tea
Piece - Mind - Dating,Piece - Mind - Dating - Over/Video
Pile - Market - Room,Pile - Market - Room - Live
Pine - Crab - Sauce,Pine - Crab - Sauce - Pie
Preserve - Ranger - Tropical,Preserve - Ranger - Tropical - Rain/Fire
Print - Berry - Bird,Print - Berry - Bird - Sky
Rain - Test - Stomach,Rain - Test - Stomach - Gas/Trip
River - Note - Account,River - Note - Account - Teller
Rocking - Wheel - High,Rocking - Wheel - High - Person
Roll - Bean - Fish,Roll - Bean - Fish - Grape/Doughnut
Rope - Truck - Line,Rope - Truck - Line - Ski/Zone
Sandwich - House - Golf,Sandwich - House - Golf - Night
Sense - Courtesy - Place,Sense - Courtesy - Place - Knowledge
Shadow - Chart - Drop,Shadow - Chart - Drop - Lash
Shock - Shave - Taste,Shock - Shave - Taste - Life/Noon
Show - Life - Row,Show - Life - Row - Sail
Spoon - Cloth - Card,Spoon - Cloth - Card - Dining/Periodic
Tail - Water - Flood,Tail - Water - Flood - Keep
Tank - Hill - Secret,Tank - Hill - Secret - Tier/Notch
Teeth - Arrest - Start,Teeth - Arrest - Start - Positive/Alarm
Test - Runner - Map,Test - Runner - Map - Trip
Time - Blown - Nelson,Time - Blown - Nelson - Moon/Disclosure
Tomato - Bomb - Picker,Tomato - Bomb - Picker - Blossom/Pie
Tooth - Potato - Heart,Tooth - Potato - Heart - Sixteen
Type - Ghost - Screen,Type - Ghost - Screen - Song
Wagon - Break - Radio,Wagon - Break - Radio - Bus
Wet - Law - Business,Wet - Law - Business - Case
Worm - Shelf - End,Worm - Shelf - End - Mark
